Location,Bedrooms,Bathrooms,Amenities,Price
Kilimani,1,2,"['Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking']"," 120,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 460,000
 / mont"
Kilimani,4,4,"['Aircon', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Walk In Closet']"," 260,000
 / mont"
"Westlands, 01, Westlands Area",,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 130
 / mont"
"Westlands, 01, Westlands Area",,,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 130
 / mont"
"Riverside, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Kilimani,,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Service Charge Included', 'Wheelchair Access']"," 288,300
 / mont"
"Runda, Westlands",5,5,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Kitisuru Road, Kitisuru, Westlands",4,5,"['Aircon', 'Alarm', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 420,000
 / mont"
"Lavington, 01",5,5,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 270,000
 / mont"
"Kitisuru, 01, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Brookside, Westlands",2,2,"['Alarm', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Service Charge Included']"," 75,000
 / mont"
"Spring Valley, Westlands",,,[]," 140
 / mont"
"Westlands Area, Westlands",,,"['Backup Generator', 'Balcony', 'CCTV', 'Parking', 'Service Charge Included']"," 35,000
 / mont"
"Near Panari Hotel, Mombasa Road",4,4,"['Balcony', 'CCTV', 'En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 100,000
 / mont"
"Old Muthaiga, Muthaiga",5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 700,000
 / mont"
"Riverside, 01, Westlands",3,3,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 250,000
 / mont"
"Aboretum Drive, Riverside, Westlands",4,2,"['Backup Generator', 'Electric Fence', 'Garden']"," 190,000
 / mont"
"Runda, Westlands",5,6,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Westlands Area, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 250,000
 / mont"
Lavington,4,3,"['Balcony', 'En Suite', 'Parking']"," 140,000
 / mont"
"Runda paradise, 01, Runda, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Lower kabete, Lower Kabete, Westlands",5,5,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 650,000
 / mont"
"Off Peponi Rd, 1, Kitisuru, Westlands",2,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 170,000
 / mont"
Karen,5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Church Road, Skyview Gardens, Westlands Area, Westlands",3,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Walk In Closet']"," 150,000
 / mont"
Lavington,,,"['Fibre Internet', 'Garden', 'Parking', 'Service Charge Included']"," 150,000
 / mont"
"Nairobi, Kilimani",,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Service Charge Included']"," 1,200
 / mont"
"Westlands Area, Westlands",,,[]," 25,000
 / mont"
Kilimani,2,,['Parking']," 70,000
 / mont"
"peponi road, Westlands Area, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 420,000
 / mont"
Lavington,1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 130,000
 / mont"
"Runda, Westlands",5,6,"['BBQ', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 438,000
 / mont"
Thika Road,4,,['Parking']," 190,000
 / mont"
"Dik Dik Gardens, Kileleshwa",,,"['Backup Generator', 'Balcony', 'Fibre Internet', 'Garden', 'Parking']"," 500,000
 / mont"
