Location,Description,Bedrooms,Bathrooms,Living Rooms,Kitchen,Price,Water,Electricity,Garden,Pool
"Karen, Nairobi, Kenya","Sprawled on 10,000sqf floor space is this stunning 4 bedroom all en-suite home, with a mix of Mediterranean and Tuscany architectural design. This home is nestled in a very sought-after neighborhood in the leafy Karen suburbs, and is in a semi-gated community of 8 homes each of different design, standing tall in a cul-de-sac.

This home boasts of unique features which distinguishes itself from the rest! The floor plan takes a rectangular shape which is a typical style in mo...read more",4,6,1,?,"ksh 285,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Westlands, Nairobi, Kenya","The apartments are built for those who are relentless in their quest for perfection and built with eco-friendly and non-polluting materials.

 

Located at the heart of Nairobi’s prime commercial area, Westlands. Residents have easy access to shopping malls, 5 star hotels and restaurants within a 1 km radius. Due to the height, the apartments offer outstanding views across Nairobi, the Aberdares and Mt. Kenya

Roof top of amenities

Resident lawn and party area
Bar...read more",2,,1,?,"ksh 16,500,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Westlands, Nairobi, Kenya","1 & 2 BEDROOM APARTMENTS FOR INVESTMENT- WESTLANDS

LOCATION:

The Apartment Towers are luxurious and located in the heart of Westlands on Westlands Road. It enjoys close proximity to the upcoming Avic’s massive Global Trade Centre (GTC), Kempinski Villa Rosa Hotel, Tulip Restaurant, Embassy of the Republic of Korea and is directly opposite the Standard Chartered Bank Headquarters. Being on Westlands Road, it connects easily to Chiromo Road, Waiyaki Way and Uhuru Highwa...read more",2,,1,?,"ksh 14,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Westlands, Nairobi, Kenya","Minah heights is a beautiful apartment that hosts  Studios, One bedroom, Two bedroom, and 3 bedroom apartments. Located along Sports Road, Westlands.

The 3 bedroom, in particular, is very spacious and uniquely designed.

The kitchen comes with a spacious pantry, beautiful and very spacious kitchen cabinets with very crisp and clean kitchen toppings. The apartment has a DSQ and laundry area.

All The bedrooms are en-suite. The master en-suite has a very unique design to...read more",3,,1,?,"ksh 27,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Westlands, Nairobi, Kenya","It enjoys close proximity to the upcoming Avic’s massive Global Trade Centre (GTC), Kempinski Villa Rosa Hotel, Tulip Restaurant, Embassy of the Republic of Korea and is directly opposite the Standard Chartered Bank Headquarters. Being on Westlands Road, it connects easily to Chiromo Road, Waiyaki Way and Uhuru Highway, thus allowing one to access all areas of Nairobi with ease.

The apartments are designed to provide luxury living in the heart of the hustle and bustle of...read more",2,,1,?,"ksh 11,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Kilimani, Nairobi, Kenya","Designed with the Highest end quality, the apartments comprises of a studio, 1, 2 and 3 bedroom apartments.

The Project consists of Two Twin towers of 15 floors each – with New-Era Architecture and superior Western-Style Finishes.

They are located along Elgeyo Marakwet Road, in the scenic and serene environment of Kilimani.

There is easy access to the best shopping malls, schools, and recreation centers. Its close to the CBD, the retail and entertainment districts ...read more",3,,1,?,"ksh 15,200,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Kilimani, Nairobi, Kenya","One bedroom plus servant Quarter for sale along Denis pritt road Kilimani.

Amenities:

High-speed lifts
Borehole water
Electric
Gym
Standby generator
Rooftop garden
Borehole water
Key Details:

1 bedroom Apartments

Spacious lounge and dining area leading to a modern kitchen;
Utility area with sink;
Cloakroom with WC, cubic shower and wash hand basin;
Built-in wardrobes;
Servants quarters;
Ample parking;

Selling price 7.5M
Ready for occupation.read more",1,,1,?,"ksh 7,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Opulent seductive and meticulously detailed 5 bedroom house for sale in Karen. The home was designed having a modern family in mind. The space are crafted by a refined and highly practical floor plan and luxurious living. The market location brims with step-away shopping, dinning and doing. Working with a great-real space gave the architects an opportunity to refine layout to match the home true character.

Features
5 Bedrooms
5 Bathrooms
Leisure Facilities
24hr securit...read more",5,5,1,?,"ksh 100,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Located along Karen Rd, the townhouses embraces state of the art finishes with a touch of contemporary architecture.

The townhouses have three levels. The first levels hosts the Dining, Living room, the guest bedroom, a study , Kitchen and pantry. The rest of the rooms are upstairs.

Features and Amenities;

Sitting on 1 acre of land
1000 Sqm plinth area
Double volume entrance
Fireplace
Attic
Theatre room
Private swimming pool
Sunken lounge
Wide wooden staircas...read more",5,,1,?,"ksh 165,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Lavington, Nairobi, Kenya","You will instantly love being part of this luxurious and urban development. It is tucked in the heart of Lavington, Just behind junction mall along Kingara road.

The project covers an area of 1.075 acres, building a total construction area of 27670 square meters. It is a modern designed development Composed of A,B,C,D,E five buildings. Each block equipped with 2 high-speed elevators.

Construction height of the layer is 2.95 meters. Basement layers to be the parking lot ...read more",2,,1,?,"ksh 11,000,000",✅,✅,NO Garden,✅ Swimming Pool
